ID,Genero,Categoria,Subcategoria,Contrato,PRIDE,SNI,EDAD
113,M,Doct,ND,CONACYT,ND,ND,37
114,M,Doct,ND,CONACYT,ND,ND,41
115,M,Doct,ND,CONACYT,ND,ND,28
116,M,Doct,ND,CONACYT,ND,ND,49
117,H,Doct,ND,CONACYT,ND,ND,39
118,H,Doct,ND,CONACYT,ND,ND,22
119,H,Doct,ND,CONACYT,ND,ND,32
120,H,Doct,ND,CONACYT,ND,ND,25
121,H,Doct,ND,CONACYT,ND,ND,52
122,H,Doct,ND,CONACYT,ND,ND,50
123,H,Doct,ND,CONACYT,ND,ND,49
124,H,Doct,ND,CONACYT,ND,ND,33
125,H,Doct,ND,CONACYT,ND,ND,25
126,H,Doct,ND,CONACYT,ND,ND,37
127,H,Doct,ND,CONACYT,ND,ND,48
128,H,Doct,ND,CONACYT,ND,ND,36
129,H,Doct,ND,CONACYT,ND,ND,33
130,H,Doct,ND,CONACYT,ND,ND,50
131,H,Doct,ND,CONACYT,ND,ND,41
132,H,Doct,ND,CONACYT,ND,ND,34
133,H,Doct,ND,CONACYT,ND,ND,25
134,H,Doct,ND,CONACYT,ND,ND,29
135,H,Doct,ND,CONACYT,ND,ND,21
136,H,Doct,ND,CONACYT,ND,ND,49
137,H,Doct,ND,CONACYT,ND,ND,35
138,H,Doct,ND,CONACYT,ND,ND,24
139,H,Doct,ND,CONACYT,ND,ND,46
140,H,Doct,ND,CONACYT,ND,ND,31
141,H,Doct,ND,CONACYT,ND,ND,44
142,H,Doct,ND,CONACYT,ND,ND,48
143,H,Doct,ND,CONACYT,ND,ND,61
144,H,Doct,ND,CONACYT,ND,ND,56
145,H,Doct,ND,CONACYT,ND,ND,70
146,H,Doct,ND,CONACYT,ND,ND,44
147,H,Doct,ND,CONACYT,ND,ND,43
148,H,Doct,ND,CONACYT,ND,ND,53
149,H,Doct,ND,CONACYT,ND,ND,73
150,H,Doct,ND,CONACYT,ND,ND,47
2,H,Inv,Asoc,POD,B,III,32
3,H,Inv,Tit,Def,C,I,54
5,H,Inv,Tit,Def,C,I,70
6,H,Inv,Eme,Def,Emerito,Emerito,53
7,H,Inv,Tit,Def,C,II,63
8,H,Inv,Tit,Def,C,III,57
9,H,Inv,Asoc,POD,B,I,44
10,H,Inv,Tit,Def,D,III,63
11,H,Inv,Tit,Def,D,III,36
13,H,Inv,Asoc,POD,B,I,60
14,H,Inv,Asoc,POD,B,I,42
15,H,Inv,Tit,Def,D,III,45
17,H,Inv,Tit,Def,D,III,44
18,M,Inv,Tit,Def,D,III,39
20,H,Inv,Asoc,POD,B,No,34
21,H,Inv,Tit,Def,C,I,37
22,H,Inv,Tit,Def,D,III,44
23,H,Inv,Tit,Def,C,II,52
24,H,Inv,Tit,Def,D,II,43
25,H,Inv,Tit,Def,D,II,23
26,H,Inv,Asoc,POD,B,I,36
27,H,Inv,Tit,Def,C,I,35
28,H,Inv,Tit,Def,C,I,42
29,M,Inv,Asoc,POD,B,I,50
30,H,Inv,Tit,Def,C,I,39
31,H,Inv,Tit,Def,D,II,53
32,H,Inv,Tit,Def,C,III,33
33,H,Inv,Tit,Def,C,I,25
51,M,Maes,ND,CONACYT,ND,ND,28
52,M,Maes,ND,CONACYT,ND,ND,26
53,M,Maes,ND,CONACYT,ND,ND,30
54,M,Maes,ND,CONACYT,ND,ND,27
55,M,Maes,ND,CONACYT,ND,ND,30
56,M,Maes,ND,CONACYT,ND,ND,45
57,M,Maes,ND,CONACYT,ND,ND,23
58,M,Maes,ND,CONACYT,ND,ND,36
59,M,Maes,ND,CONACYT,ND,ND,29
60,H,Maes,ND,CONACYT,ND,ND,32
61,H,Maes,ND,CONACYT,ND,ND,35
62,H,Maes,ND,CONACYT,ND,ND,38
63,H,Maes,ND,CONACYT,ND,ND,60
64,H,Maes,ND,CONACYT,ND,ND,70
65,H,Maes,ND,CONACYT,ND,ND,24
66,H,Maes,ND,CONACYT,ND,ND,47
67,H,Maes,ND,CONACYT,ND,ND,22
68,H,Maes,ND,CONACYT,ND,ND,55
69,H,Maes,ND,CONACYT,ND,ND,24
70,H,Maes,ND,CONACYT,ND,ND,60
71,H,Maes,ND,CONACYT,ND,ND,22
72,H,Maes,ND,CONACYT,ND,ND,37
73,H,Maes,ND,CONACYT,ND,ND,44
74,H,Maes,ND,CONACYT,ND,ND,63
75,H,Maes,ND,CONACYT,ND,ND,50
