Nombre de Evento	Organizador	Categoria	Asistentes	Año
Cine Comentado	Cinepolis-CCM	Ferias y Eventos	1300	2015-2016
Fiesta de las Ciencias y las Humanidades	UNAM-Morelia	Ferias y Eventos	4500	2015-2016
El Universo en tu Escuela: Visita al colegio Liber de Morelia	Colegio Liber - CCM	Visitas a Escuelas	200	2015-2016
La Noche de las Estrellas	Centro de Morelia	Ferias y Eventos	6000	2015-2016
Degustaciones Matematicas	Posgrado Conjunto UNAM-UMSNH	Ferias y Eventos	200	2015-2016
Feria de Ciencias para Niños y Niñas	UNAM-Morelia	Ferias y Eventos	500	2015-2016
Intervencion artistica en las instalaciones de la UNAM Morelia	Morelia	Ferias y Eventos	50	2015-2016
La Feria Matematica de Morelia	Centro de Morelia	Ferias y Eventos	5600	2015-2016
TAller propedeutico para ingreso al Posgrado Conjunto	UNAM-Morelia	Taller		2015-2016
XVI Escuela de Verano en Matematicas del CCM	CCM	Ferias y Eventos		2015-2016
Programa de Promocion y Estimulo al Talento Cientifico		Ferias y Eventos	35	2015-2016
1er Feria de las Matematicas Oaxaca 2015 con los talleres: burbujas, rompezabezas poligonal, cubo soma y nudos		Ferias y Eventos	5000	2015-2016
Semana de la Ciencia con el taller de! papiroflexia modular, durante la Semana Nacional de! Ciencia y Tecnologia	Consejo Estatal de! Ciencia Tecnologia e! Innovacion	Ferias y Eventos	210	2015-2016
Tecnologico de los Reyes	CCM	Visitas Guiadas	25	2015-2016
Centro Educativo Morelia	CCM	Visitas Guiadas	84	2015-2016
Escuela Primaria Melchor Ocampo	CCM	Visitas Guiadas	26	2015-2016
Escuela Primaria Melchor Ocampo	CCM	Visitas Guiadas	29	2015-2016
Escuela Primaria Melchor Ocampo	CCM	Visitas Guiadas	26	2015-2016
Escuela Primaria Emiliano Zapata	CCM	Visitas Guiadas	30	2015-2016
Escuela Primaria Emiliano Zapata	CCM	Visitas Guiadas	31	2015-2016
Escuela Primaria Emiliano Zapata	CCM	Visitas Guiadas	30	2015-2016
Escuela Primaria Melchor Ocampo	CCM	Visitas Guiadas	28	2015-2016
Escuela Primaria Benito Juarez	CCM	Visitas Guiadas	26	2015-2016
Escuela Secundaria 15 de Mayo	CCM	Visitas Guiadas	23	2015-2016
Escuela Secundaria 15 de Mayo	CCM	Visitas Guiadas	29	2015-2016
Escuela Secundaria 15 de Mayo	CCM	Visitas Guiadas	30	2015-2016
Escuela Secundaria Luis Felipe Rodriguez Jorge	CCM	Visitas Guiadas	17	2015-2016
Escuela Secundaria Tecnica 13	CCM	Visitas Guiadas	60	2015-2016
Escuela Secundaria Tecnica 13	CCM	Visitas Guiadas	47	2015-2016
Escuela Secundaria Tecnica 13	CCM	Visitas Guiadas	26	2015-2016
Escuela Secundaria Luis Felipe Rodriguez Jorge	CCM	Visitas Guiadas	18	2015-2016
Escuela Secundaria Miguel Hidalgo Tanhuato	CCM	Visitas Guiadas	35	2015-2016
MESE	CCM	Visitas Guiadas	15	2015-2016
Colegio El Principito	CCM	Visitas Guiadas	50	2015-2016
MESE	CCM	Visitas Guiadas		2015-2016
Dia de Pi. Intervencion artistica en la explanada de la CSAM-UNAM		Ferias y Eventos	400	2016-2017
Feria Matematica de Morelia		Ferias y Eventos	5000	2016-2017
Degustaciones Matematicas	Posgrado Conjunto UNAM-UMSNH	Ferias y Eventos	80	2016-2017
Coloquio CCM y Posgrado Conjunto	CCM	Ferias y Eventos		2016-2017
Lecciones matematicas	CCM	Ferias y Eventos		2016-2017
Taller propedeutico para ingreso al Posgrado Conjunto en ciencias matematicas UNAM-UMSNH	CCM	Taller	23	2016-2017
XVII Escuela de Verano en Matematicas del CCM	CCM	Ferias y Eventos	35	2016-2017
Escuela de Verano de Simetrias de Estructuras Combinatorias	Instituto de Metematics, UNAM-Cuernavaca	Ferias y Eventos	30	2016-2017
Programa de Computo cientifico: 2 Escuela de Metodos Matematicos para Biologia y 4 Escuela de Analisis Topologico de Datos y Topologia EStocastica	CCM	Ferias y Eventos		2016-2017
Tercer Congreso de la Asociacion Metmatica de la Cuenca del Pacifico PRIMA	Instiuto Tecnologico de Oaxaca	Ferias y Eventos		2016-2017
Programa de visitas cientificas al campus dela UNAM-Morelia		Visitas Guiadas	573	2016-2017
Programa de visitas cientificas la UNAM en tu municipio, Municipio Santa Ana Maya		Visitas a Escuelas	85	2016-2017
Ciclo de Cine Comentado: la ciencia en el septimo arte		Ferias y Eventos	360	2016-2017
Fiesta de las Ciencias y las Humanidades		Ferias y Eventos	5000	2016-2017
La Noche de las Estrellas		Ferias y Eventos	11000	2016-2017
7ma Feria Infantil de Ciencias y Artes		Ferias y Eventos	400	2016-2017
Guelaguetza Matematica, Oaxaca	Universidad del Papaloapan	Ferias y Eventos		2016-2017
Talleres de Ciencia para Jovenes de Secundaria, Guanajuato	CIMAT	Taller		2016-2017
